age_sex,Indicator,Value,Sd
20-29_female,ghgs,-0.1588003296720534,-0.1412968442041339
20-29_male,ghgs,0.0914611338804605,0.078453355175721
30-39_female,ghgs,-0.1156545661592016,-0.121688033065572
30-39_male,ghgs,0.0263518135566617,0.0235478669979053
40-49_female,ghgs,-0.0398525020870374,-0.069013651565681
40-49_male,ghgs,0.0344640174284742,-0.0434440852594057
50-59_female,ghgs,-0.0162759334465167,-0.0591351464278821
50-59_male,ghgs,0.0239732627929629,-0.0330513338736309
60-69_female,ghgs,0.0049566633841226,0.0176580459428075
60-69_male,ghgs,0.0103547039465807,-0.0051148011615071
70-79_female,ghgs,0.0377929187051649,0.1935351088048149
70-79_male,ghgs,0.1012288176703798,0.159549518636564
20-29_female,watscar,-0.1803360343057525,-0.0875966610909823
20-29_male,watscar,0.1222285142167802,0.116541461855947
30-39_female,watscar,-0.127269353641243,-0.1375588237235447
30-39_male,watscar,0.0889111569341122,0.0908580141415025
40-49_female,watscar,-0.0955640092489488,-0.0373815982851906
40-49_male,watscar,-0.0433897016549555,-0.026064685676972
50-59_female,watscar,-0.0379545486242626,-0.0411403076511775
50-59_male,watscar,-0.0546193925118385,-0.1084098500317869
60-69_female,watscar,0.036434030634793,-0.0107587113245864
60-69_male,watscar,0.0556614612914696,0.111099554836335
70-79_female,watscar,0.0987651120843604,0.0560954971720159
70-79_male,watscar,0.1371327648254883,0.0743161097784391
20-29_female,bio,-0.1113488825871251,-0.0763266063227798
20-29_male,bio,0.0666091579043819,0.0742993140402866
30-39_female,bio,-0.0700627595159142,-0.0617337317422605
30-39_male,bio,0.0294049063246673,0.0084259468114089
40-49_female,bio,-0.0185942083027401,-0.0296466423931805
40-49_male,bio,0.0260004931664334,-0.0078796623413894
50-59_female,bio,-0.022501521581446,-0.0298946886768981
50-59_male,bio,-0.00240282938149,-0.0087547530889329
60-69_female,bio,0.0034061060600586,0.0076022245900203
60-69_male,bio,-0.0008561618976903,0.0091419136328387
70-79_female,bio,0.0338931380023128,0.065267513759755
70-79_male,bio,0.066452561808552,0.0494991717311317
20-29_female,eut,-0.0974383088785952,-0.0415879768905657
20-29_male,eut,0.2404811101717764,0.5944523842811006
30-39_female,eut,-0.0996274698413159,-0.1371614944748942
30-39_male,eut,0.1001173669089104,0.1495196098263111
40-49_female,eut,-0.070013315038615,-0.1403040014835095
40-49_male,eut,0.0404247126714589,-0.0313695509230492
50-59_female,eut,-0.0776236286650872,-0.1869836470650359
50-59_male,eut,0.0045490753512616,-0.0175796760612892
60-69_female,eut,-0.0518282312568515,-0.1415076669059371
60-69_male,eut,-0.0189160793246617,-0.0514455884457035
70-79_female,eut,-0.0283858282381869,0.0328827305103374
70-79_male,eut,0.0582605961399113,-0.0289151223677638
20-29_female,watuse,-0.0809244190846196,-0.0521922777690935
20-29_male,watuse,0.1247040951219222,0.0913613894673612
30-39_female,watuse,-0.0698219167433025,-0.0898551850168852
30-39_male,watuse,0.0845924488748937,0.1316511127069624
40-49_female,watuse,-0.0814173511920984,-0.0536374649472575
40-49_male,watuse,-0.0560327034846228,-0.086557686894109
50-59_female,watuse,-0.0357075590926137,-0.0214416644577247
50-59_male,watuse,-0.051510032714566,-0.079653824949924
60-69_female,watuse,0.0220955102085125,0.0128193587876251
60-69_male,watuse,0.0107702083779357,0.0419039711490277
70-79_female,watuse,0.0555376533092112,0.0725600285797533
70-79_male,watuse,0.0777140664193498,0.0330422433442625
20-29_female,acid,-0.1571685226636416,-0.1529771760567236
20-29_male,acid,0.1379827644882556,0.445817946319952
30-39_female,acid,-0.1142899890167698,-0.1913449439985549
30-39_male,acid,0.0443152301905303,0.1616060232630693
40-49_female,acid,-0.0523807999495633,-0.1264564227110852
40-49_male,acid,0.0173454141034461,-0.0532372726021074
50-59_female,acid,-0.0203254869640513,-0.1271968032902551
50-59_male,acid,0.0122375476749857,-0.0517227683796841
60-69_female,acid,0.0190010518087124,-0.0635753744801223
60-69_male,acid,0.0106311900815059,-0.0772253290488194
70-79_female,acid,0.0323576853103609,0.1847322177099012
70-79_male,acid,0.0702939149362314,0.0515799032744309
